[2026-03-03 01:15:15] Population: 14 | Energy Pool: 0
[2026-03-03 01:15:26] Population: 12 | Energy Pool: 0
[2026-03-03 01:15:36] Population: 11 | Energy Pool: 2
[2026-03-03 01:15:47] Population: 11 | Energy Pool: 0
[2026-03-03 01:15:58] Population: 11 | Energy Pool: 4
[2026-03-03 01:16:08] Population: 14 | Energy Pool: 1
[2026-03-03 01:16:19] Population: 15 | Energy Pool: 3
[2026-03-03 01:16:30] Population: 16 | Energy Pool: 1
[2026-03-03 01:16:41] Population: 17 | Energy Pool: 0
[2026-03-03 01:16:51] Population: 20 | Energy Pool: 7
[2026-03-03 01:17:02] Population: 30 | Energy Pool: 5
[2026-03-03 01:17:14] Population: 20 | Energy Pool: 0
[2026-03-03 01:17:25] Population: 21 | Energy Pool: 0
[2026-03-03 01:17:36] Population: 24 | Energy Pool: 0
[2026-03-03 01:17:47] Population: 25 | Energy Pool: 0
[2026-03-03 01:17:58] Population: 21 | Energy Pool: 0
[2026-03-03 01:18:09] Population: 24 | Energy Pool: 0
[2026-03-03 01:18:21] Population: 24 | Energy Pool: 0
[2026-03-03 01:18:32] Population: 19 | Energy Pool: 0
[2026-03-03 01:18:43] Population: 19 | Energy Pool: 0
[2026-03-03 01:18:54] Population: 16 | Energy Pool: 2
[2026-03-03 01:19:05] Population: 19 | Energy Pool: 0
[2026-03-03 01:19:16] Population: 13 | Energy Pool: 0
[2026-03-03 01:19:26] Population: 15 | Energy Pool: 0
[2026-03-03 01:19:37] Population: 16 | Energy Pool: 0
[2026-03-03 01:19:48] Population: 18 | Energy Pool: 0
[2026-03-03 01:19:59] Population: 15 | Energy Pool: 1
[2026-03-03 01:20:10] Population: 13 | Energy Pool: 1
[2026-03-03 01:20:20] Population: 13 | Energy Pool: 1
[2026-03-03 01:20:31] Population: 14 | Energy Pool: 2
[2026-03-03 01:20:42] Population: 16 | Energy Pool: 1
[2026-03-03 01:20:53] Population: 18 | Energy Pool: 6
[2026-03-03 01:21:04] Population: 17 | Energy Pool: 0
[2026-03-03 01:21:15] Population: 12 | Energy Pool: 0
[2026-03-03 01:21:25] Population: 11 | Energy Pool: 1
[2026-03-03 01:21:36] Population: 10 | Energy Pool: 3
[2026-03-03 01:21:46] Population: 12 | Energy Pool: 1
[2026-03-03 01:21:57] Population: 10 | Energy Pool: 0
[2026-03-03 01:22:07] Population: 10 | Energy Pool: 0
[2026-03-03 01:22:18] Population: 11 | Energy Pool: 3
[2026-03-03 01:22:28] Population: 13 | Energy Pool: 4
[2026-03-03 01:22:39] Population: 26 | Energy Pool: 491
[2026-03-03 01:22:51] Population: 52 | Energy Pool: 404
[2026-03-03 01:23:03] Population: 104 | Energy Pool: 156
[2026-03-03 01:23:19] Population: 75 | Energy Pool: 0
[2026-03-03 01:23:32] Population: 18 | Energy Pool: 0
[2026-03-03 01:23:43] Population: 24 | Energy Pool: 0
[2026-03-03 01:23:55] Population: 25 | Energy Pool: 0
[2026-03-03 01:24:06] Population: 24 | Energy Pool: 0
[2026-03-03 01:24:17] Population: 16 | Energy Pool: 0
[2026-03-03 01:24:28] Population: 17 | Energy Pool: 2
[2026-03-03 01:24:39] Population: 18 | Energy Pool: 0
[2026-03-03 01:24:49] Population: 14 | Energy Pool: 0
[2026-03-03 01:25:00] Population: 17 | Energy Pool: 4
[2026-03-03 01:25:11] Population: 17 | Energy Pool: 1
[2026-03-03 01:25:22] Population: 21 | Energy Pool: 6
[2026-03-03 01:25:33] Population: 24 | Energy Pool: 2
[2026-03-03 01:25:44] Population: 22 | Energy Pool: 0
[2026-03-03 01:25:55] Population: 20 | Energy Pool: 0
[2026-03-03 01:26:06] Population: 22 | Energy Pool: 5
[2026-03-03 01:26:17] Population: 26 | Energy Pool: 1
[2026-03-03 01:26:28] Population: 29 | Energy Pool: 0
[2026-03-03 01:26:40] Population: 27 | Energy Pool: 0
[2026-03-03 01:26:51] Population: 27 | Energy Pool: 0
[2026-03-03 01:27:03] Population: 25 | Energy Pool: 0
[2026-03-03 01:27:14] Population: 22 | Energy Pool: 0
[2026-03-03 01:27:25] Population: 20 | Energy Pool: 0
[2026-03-03 01:27:36] Population: 21 | Energy Pool: 0
[2026-03-03 01:27:47] Population: 22 | Energy Pool: 0
[2026-03-03 01:27:58] Population: 20 | Energy Pool: 0
[2026-03-03 01:28:09] Population: 17 | Energy Pool: 1
[2026-03-03 01:28:20] Population: 17 | Energy Pool: 1
[2026-03-03 01:28:31] Population: 16 | Energy Pool: 1
[2026-03-03 01:28:42] Population: 17 | Energy Pool: 0
[2026-03-03 01:28:53] Population: 17 | Energy Pool: 2
[2026-03-03 01:29:04] Population: 20 | Energy Pool: 0
[2026-03-03 01:29:15] Population: 21 | Energy Pool: 1
[2026-03-03 01:29:26] Population: 24 | Energy Pool: 0
[2026-03-03 01:29:37] Population: 20 | Energy Pool: 0
[2026-03-03 01:29:48] Population: 20 | Energy Pool: 2
[2026-03-03 01:29:59] Population: 23 | Energy Pool: 5
[2026-03-03 01:30:10] Population: 27 | Energy Pool: 0
[2026-03-03 01:30:22] Population: 26 | Energy Pool: 0
[2026-03-03 01:30:33] Population: 25 | Energy Pool: 0
[2026-03-03 01:30:45] Population: 37 | Energy Pool: 280
[2026-03-03 01:30:56] Population: 74 | Energy Pool: 203
[2026-03-03 01:31:10] Population: 124 | Energy Pool: 1
[2026-03-03 01:31:26] Population: 25 | Energy Pool: 0
[2026-03-03 01:31:37] Population: 29 | Energy Pool: 0
[2026-03-03 01:31:49] Population: 29 | Energy Pool: 0
[2026-03-03 01:32:00] Population: 33 | Energy Pool: 2
[2026-03-03 01:32:12] Population: 37 | Energy Pool: 0
[2026-03-03 01:32:24] Population: 28 | Energy Pool: 0
[2026-03-03 01:32:35] Population: 27 | Energy Pool: 0
[2026-03-03 01:32:46] Population: 27 | Energy Pool: 0
[2026-03-03 01:32:58] Population: 28 | Energy Pool: 0
[2026-03-03 01:33:09] Population: 29 | Energy Pool: 0
[2026-03-03 01:33:21] Population: 27 | Energy Pool: 0
[2026-03-03 01:33:32] Population: 12 | Energy Pool: 0
[2026-03-03 01:33:43] Population: 12 | Energy Pool: 3
[2026-03-03 01:33:54] Population: 12 | Energy Pool: 8
[2026-03-03 01:34:04] Population: 12 | Energy Pool: 10
[2026-03-03 01:34:15] Population: 12 | Energy Pool: 17
[2026-03-03 01:34:25] Population: 13 | Energy Pool: 17
[2026-03-03 01:34:36] Population: 14 | Energy Pool: 15
[2026-03-03 01:34:47] Population: 13 | Energy Pool: 5
[2026-03-03 01:34:57] Population: 12 | Energy Pool: 0
[2026-03-03 01:35:08] Population: 11 | Energy Pool: 1
[2026-03-03 01:35:19] Population: 11 | Energy Pool: 4
[2026-03-03 01:35:29] Population: 11 | Energy Pool: 7
[2026-03-03 01:35:40] Population: 11 | Energy Pool: 10
[2026-03-03 01:35:51] Population: 11 | Energy Pool: 13
[2026-03-03 01:36:01] Population: 13 | Energy Pool: 11
[2026-03-03 01:36:12] Population: 14 | Energy Pool: 11
[2026-03-03 01:36:23] Population: 15 | Energy Pool: 5
[2026-03-03 01:36:33] Population: 14 | Energy Pool: 5
[2026-03-03 01:36:44] Population: 14 | Energy Pool: 7
[2026-03-03 01:36:55] Population: 14 | Energy Pool: 11
[2026-03-03 01:37:06] Population: 14 | Energy Pool: 11
[2026-03-03 01:37:16] Population: 14 | Energy Pool: 11
[2026-03-03 01:37:27] Population: 14 | Energy Pool: 10
[2026-03-03 01:37:38] Population: 14 | Energy Pool: 5
[2026-03-03 01:37:49] Population: 14 | Energy Pool: 2
[2026-03-03 01:37:59] Population: 14 | Energy Pool: 2
[2026-03-03 01:38:10] Population: 14 | Energy Pool: 1
[2026-03-03 01:38:21] Population: 13 | Energy Pool: 3
[2026-03-03 01:38:32] Population: 13 | Energy Pool: 1
[2026-03-03 01:38:42] Population: 12 | Energy Pool: 7
[2026-03-03 01:38:53] Population: 12 | Energy Pool: 17
[2026-03-03 01:39:04] Population: 12 | Energy Pool: 28
[2026-03-03 01:39:14] Population: 18 | Energy Pool: 36
[2026-03-03 01:39:25] Population: 27 | Energy Pool: 34
[2026-03-03 01:39:37] Population: 34 | Energy Pool: 7
[2026-03-03 01:39:48] Population: 26 | Energy Pool: 1
[2026-03-03 01:40:00] Population: 22 | Energy Pool: 0
[2026-03-03 01:40:11] Population: 21 | Energy Pool: 1
[2026-03-03 01:40:22] Population: 20 | Energy Pool: 1
[2026-03-03 01:40:33] Population: 19 | Energy Pool: 0
[2026-03-03 01:40:44] Population: 16 | Energy Pool: 0
[2026-03-03 01:40:55] Population: 15 | Energy Pool: 2
[2026-03-03 01:41:05] Population: 14 | Energy Pool: 1
